Date,Serie,Phase,Valeur,Borne_Basse,Borne_Haute
2010-02-05,Réel,Historique,49750740.5,,
2010-02-12,Réel,Historique,48336677.63,,
2010-02-19,Réel,Historique,48276993.78,,
2010-02-26,Réel,Historique,43968571.13,,
2010-03-05,Réel,Historique,46871470.3,,
2010-03-12,Réel,Historique,45925396.51,,
2010-03-19,Réel,Historique,44988974.64,,
2010-03-26,Réel,Historique,44133961.05,,
2010-04-02,Réel,Historique,50423831.26,,
2010-04-09,Réel,Historique,47365290.44,,
2010-04-16,Réel,Historique,45183667.08,,
2010-04-23,Réel,Historique,44734452.56,,
2010-04-30,Réel,Historique,43705126.71,,
2010-05-07,Réel,Historique,48503243.52,,
2010-05-14,Réel,Historique,45330080.2,,
2010-05-21,Réel,Historique,45120108.06,,
2010-05-28,Réel,Historique,47757502.56,,
2010-06-04,Réel,Historique,50188543.12,,
2010-06-11,Réel,Historique,47826546.72,,
2010-06-18,Réel,Historique,47622046.23,,
2010-06-25,Réel,Historique,46609036.29,,
2010-07-02,Réel,Historique,48917484.5,,
2010-07-09,Réel,Historique,47899529.37,,
2010-07-16,Réel,Historique,46243899.58,,
2010-07-23,Réel,Historique,44888849.11,,
2010-07-30,Réel,Historique,44630363.42,,
2010-08-06,Réel,Historique,48204999.12,,
2010-08-13,Réel,Historique,46464418.41,,
2010-08-20,Réel,Historique,47060952.92,,
2010-08-27,Réel,Historique,45909740.44,,
2010-09-03,Réel,Historique,47194257.61,,
2010-09-10,Réel,Historique,45634397.84,,
2010-09-17,Réel,Historique,43080726.51,,
2010-09-24,Réel,Historique,41358514.41,,
2010-10-01,Réel,Historique,42239875.87,,
2010-10-08,Réel,Historique,45102974.23,,
2010-10-15,Réel,Historique,43149473.45,,
2010-10-22,Réel,Historique,43066669.52,,
2010-10-29,Réel,Historique,43602830.95,,
2010-11-05,Réel,Historique,45781981.89,,
2010-11-12,Réel,Historique,46124800.83,,
2010-11-19,Réel,Historique,45125584.18,,
2010-11-26,Réel,Historique,65821003.24,,
2010-12-03,Réel,Historique,49909027.88,,
2010-12-10,Réel,Historique,55666770.39,,
2010-12-17,Réel,Historique,61820799.85,,
2010-12-24,Réel,Historique,80931415.6,,
2010-12-31,Réel,Historique,40432519.0,,
2011-01-07,Réel,Historique,42775787.77,,
2011-01-14,Réel,Historique,40673678.04,,
2011-01-21,Réel,Historique,40654648.03,,
2011-01-28,Réel,Historique,39599852.99,,
2011-02-04,Réel,Historique,46153111.12,,
2011-02-11,Réel,Historique,47336192.79,,
2011-02-18,Réel,Historique,48716164.12,,
2011-02-25,Réel,Historique,44125859.84,,
2011-03-04,Réel,Historique,46980603.74,,
2011-03-11,Réel,Historique,44627319.4,,
2011-03-18,Réel,Historique,44872325.97,,
2011-03-25,Réel,Historique,42876199.18,,
2011-04-01,Réel,Historique,43458991.19,,
2011-04-08,Réel,Historique,45887466.8,,
2011-04-15,Réel,Historique,44973328.14,,
2011-04-22,Réel,Historique,48676692.06,,
2011-04-29,Réel,Historique,43530032.78,,
2011-05-06,Réel,Historique,46861958.29,,
2011-05-13,Réel,Historique,45446144.82,,
